Date,Home Team,Score,Away Team
22-10-2023,Sivasspor,0 - 1,Kasimpasa
27-10-2023,Kasimpasa,3 - 1,İstanbulspor
03-11-2023,Galatasaray,2 - 1,Kasimpasa
11-11-2023,Kasimpasa,3 - 4,Kayserispor
25-11-2023,Konyaspor,2 - 0,Kasimpasa
03-12-2023,Kasimpasa,4 - 2,Gaziantep BBK
09-12-2023,Samsunspor,4 - 2,Kasimpasa
20-12-2023,Antalyaspor,0 - 0,Kasimpasa
25-12-2023,Kasimpasa,2 - 2,Rizespor
05-01-2024,Besiktas,1 - 3,Kasimpasa
09-01-2024,Kasimpasa,0 - 3,Buyuksehyr
13-01-2024,Ankaragucu,3 - 1,Kasimpasa
20-01-2024,Kasimpasa,3 - 0,Hatayspor
23-01-2024,Pendikspor,3 - 2,Kasimpasa
29-01-2024,Trabzonspor,2 - 3,Kasimpasa
04-02-2024,Kasimpasa,2 - 1,Alanyaspor
09-02-2024,Adana Demirspor,1 - 3,Kasimpasa
16-02-2024,Kasimpasa,1 - 1,Fatih Karagümrük
24-02-2024,Fenerbahce,2 - 1,Kasimpasa
01-03-2024,Kasimpasa,0 - 0,Sivasspor
10-03-2024,İstanbulspor,1 - 2,Kasimpasa
17-03-2024,Kasimpasa,3 - 4,Galatasaray
03-04-2024,Kayserispor,0 - 2,Kasimpasa
13-04-2024,Kasimpasa,0 - 2,Konyaspor
21-04-2024,Gaziantep BBK,2 - 0,Kasimpasa
27-04-2024,Kasimpasa,1 - 0,Samsunspor
05-05-2024,Buyuksehyr,4 - 1,Kasimpasa
12-05-2024,Kasimpasa,3 - 1,Antalyaspor
18-05-2024,Rizespor,0 - 0,Kasimpasa
26-05-2024,Kasimpasa,2 - 1,Besiktas
12-08-2023,Kayserispor,0 - 0,Galatasaray
18-08-2023,İstanbulspor,1 - 1,Kayserispor
27-08-2023,Kayserispor,2 - 1,Samsunspor
02-09-2023,Antalyaspor,1 - 1,Kayserispor
16-09-2023,Kayserispor,2 - 0,Gaziantep BBK
24-09-2023,Besiktas,2 - 1,Kayserispor
02-10-2023,Kayserispor,0 - 0,Buyuksehyr
07-10-2023,Ankaragucu,3 - 0,Kayserispor
21-10-2023,Kayserispor,3 - 1,Rizespor
27-10-2023,Hatayspor,1 - 2,Kayserispor
06-11-2023,Kayserispor,1 - 0,Alanyaspor
11-11-2023,Kasimpasa,3 - 4,Kayserispor
26-11-2023,Kayserispor,1 - 1,Adana Demirspor
03-12-2023,Trabzonspor,0 - 1,Kayserispor
10-12-2023,Kayserispor,2 - 0,Pendikspor
20-12-2023,Kayserispor,3 - 4,Fenerbahce
24-12-2023,Konyaspor,2 - 0,Kayserispor
07-01-2024,Kayserispor,1 - 3,Sivasspor
10-01-2024,Fatih Karagümrük,4 - 1,Kayserispor
15-01-2024,Galatasaray,2 - 1,Kayserispor
22-01-2024,Kayserispor,0 - 1,İstanbulspor
25-01-2024,Samsunspor,2 - 0,Kayserispor
29-01-2024,Kayserispor,1 - 1,Antalyaspor
